127.0.0.1 - - [20/Mar/2025:15:26:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5847
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/css/header.css HTTP/1.1" 200 5644
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/search.png HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/logo.png HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/group.png HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/home.png HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/css/login.css HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/person.png HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/inquiryList.png HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/inquiry.png HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/speaker%20(1).png HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img2/ex.jpg HTTP/1.1" 200 36607
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img/slideBanner.png HTTP/1.1" 200 114558
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img/slideBanner2.png HTTP/1.1" 200 77441
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img/slideBanner4.png HTTP/1.1" 200 124529
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/img/slideBanner3.png HTTP/1.1" 200 55949
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /TeamProject1/js/login.js HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /img/kakao.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /img/facebook.png HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /img/google.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /img/naver.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:35 +0900] "GET /img/apple.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13687
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /TeamProject1/js/home.js HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /TeamProject1/img2/next.png HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /TeamProject1/img/time.gif HTTP/1.1" 200 16807
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 200 7816
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:42 +0900] "GET /img/backgorund.jpg HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5847
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /img/kakao.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /img/facebook.png HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /img/google.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /img/apple.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:48 +0900] "GET /img/naver.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Mar/2025:15:26:52 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13687
